timestamp,user_id,role,login_hour,session_duration,data_download_mb,transaction_amount,access_count,privilege_level,device_change,location_change,failed_logins,is_off_hours,login_frequency,attack_type,risk_score
01-01-2025 00:02,77d36aba,Employee,0,10,2926,1153,3,1,0,1,0,1,3,Data Exfiltration,0.6848
01-01-2025 00:37,a5d2a0f4,Employee,0,400,2062,841,5,2,0,1,0,1,3,Data Exfiltration,0.7225
01-01-2025 00:43,a4048e00,Employee,0,400,3169,14,1,2,0,0,0,1,3,Data Exfiltration,0.6125
01-01-2025 00:47,b2b25f43,Employee,0,400,3715,17,6,1,0,1,0,1,1,Data Exfiltration,0.6927
01-01-2025 00:51,edaaef72,Employee,0,400,2025,733,8,1,0,1,0,1,2,Data Exfiltration,0.6868
01-01-2025 01:02,24f6143f,Employee,1,1,9,1068,51,1,1,1,10,1,1,Brute Force,0.9449
01-01-2025 01:03,a47c146a,Manager,1,3,3,1015,56,2,1,1,6,1,4,Brute Force,0.807
01-01-2025 01:04,565c6754,Employee,1,1,15,495,55,1,1,1,16,1,1,Brute Force,0.9655
01-01-2025 01:05,7282757c,Employee,1,1,12,818,42,2,1,1,19,1,3,Brute Force,0.9572
01-01-2025 01:06,44cbc43b,Employee,1,400,991,777,3,1,0,1,0,1,4,Data Exfiltration,0.4646
01-01-2025 01:07,24e51390,Manager,1,2,8,69,49,4,1,1,7,1,3,Brute Force,0.9377
01-01-2025 01:12,89463393,Employee,1,10,2216,191,9,2,0,1,0,1,2,Data Exfiltration,0.7005
01-01-2025 01:13,0505b90e,Employee,1,4,5,626,57,2,1,1,11,1,1,Brute Force,0.7732
01-01-2025 01:17,2956cf33,Employee,1,2,5,511,44,1,1,1,14,1,4,Brute Force,0.9725
01-01-2025 01:22,e3c0a298,Employee,1,3,4,32,51,1,1,1,10,1,2,Brute Force,0.7748
01-01-2025 01:23,12b5a1de,Vendor,1,10,1755,1364,1,1,0,0,0,1,4,Data Exfiltration,0.7686
01-01-2025 01:23,891b125e,Vendor,1,10,2403,106,4,2,0,0,0,1,2,Data Exfiltration,0.7738
01-01-2025 01:24,18e2e5d3,Employee,1,10,3494,775,5,4,0,0,0,1,1,Data Exfiltration,0.8246
01-01-2025 01:24,f3e5da49,Manager,1,4,1,61,60,1,1,1,15,1,3,Brute Force,0.8219
01-01-2025 01:25,2dfc9783,Contractor,1,2,8,523,53,1,1,1,17,1,1,Brute Force,1
01-01-2025 01:25,05fb66da,Employee,1,400,2107,96,5,1,0,1,0,1,4,Data Exfiltration,0.7044
01-01-2025 01:34,f66a4d73,Vendor,1,1,3,22,47,1,1,1,6,1,4,Brute Force,1
01-01-2025 01:35,466e3465,Employee,1,1,20,1952,51,2,1,1,7,1,3,Brute Force,0.932
01-01-2025 01:36,176a9167,Vendor,1,2,16,1672,28,1,1,1,15,1,1,Brute Force,1
01-01-2025 01:38,f8495107,Employee,1,2,12,407,40,1,1,1,7,1,4,Brute Force,0.8725
01-01-2025 01:40,fb7d1134,Employee,1,10,1652,329,8,1,0,0,0,1,3,Data Exfiltration,0.5845
01-01-2025 01:41,6eb37853,Employee,1,1,2,146,50,1,1,1,8,1,4,Brute Force,0.9667
01-01-2025 01:46,c5e8e845,Manager,1,2,1,1628,48,1,1,1,5,1,3,Brute Force,0.7314
01-01-2025 01:49,44c1ca29,Employee,1,10,1782,165,7,1,0,1,0,1,3,Data Exfiltration,0.6993
01-01-2025 01:50,935f1f44,Employee,1,3,6,753,45,1,1,1,19,1,1,Brute Force,0.7983
01-01-2025 01:53,91dbd287,Employee,1,2,19,699,45,1,1,1,16,1,2,Brute Force,0.9227
01-01-2025 01:58,788bc381,Employee,1,4,3,385,61,4,1,1,14,1,3,Brute Force,1
01-01-2025 02:07,ee163954,Employee,2,1,22,698,44,5,1,1,6,1,2,Brute Force,1
01-01-2025 02:07,945db034,Contractor,2,3,11,395,50,2,1,1,7,1,4,Brute Force,0.8973
01-01-2025 02:15,b70745fd,Employee,2,1,2,1150,48,2,1,1,18,1,3,Brute Force,0.979
01-01-2025 02:17,5e9f05d7,Employee,2,3,9,101,52,1,1,1,15,1,4,Brute Force,0.8263
